,run_id,reduced_pattern,void_fraction,correlation,void_fraction_corr,error,abs_error
0,13,slug,0.556030410125,alpha_h,0.6302521008403361,0.07422169071533613,0.07422169071533613
1,14,slug,0.5304052548,alpha_h,0.8205882352941177,0.2901829804941177,0.2901829804941177
2,15,slug,0.5215324891,alpha_h,0.8717277486910994,0.3501952595910993,0.3501952595910993
3,23,slug,0.547126287475,alpha_h,0.8493827160493826,0.3022564285743826,0.3022564285743826
4,25,slug,0.49836908301250005,alpha_h,0.7556818181818182,0.2573127351693182,0.2573127351693182
5,28,plug,0.24102238166249998,alpha_h,0.3969465648854962,0.1559241832229962,0.1559241832229962
6,29,plug,0.21646753070000005,alpha_h,0.3846153846153847,0.16814785391538464,0.16814785391538464
7,31,plug,0.367303725425,alpha_h,0.5247524752475248,0.15744874982252477,0.15744874982252477
8,32,plug,0.41731363495000007,alpha_h,0.5795454545454545,0.1622318195954544,0.1622318195954544
9,33,plug,0.48740399995000006,alpha_h,0.6842105263157895,0.19680652636578944,0.19680652636578944
10,34,plug,0.45857368557500006,alpha_h,0.8153846153846154,0.3568109298096153,0.3568109298096153
11,35,plug,0.455089220575,alpha_h,0.9160839160839161,0.46099469550891614,0.46099469550891614
12,36,plug,0.547265918925,alpha_h,0.8481012658227848,0.3008353468977848,0.3008353468977848
13,40,wavy,0.8663639310461123,alpha_h,0.9893617021276596,0.1229977710815473,0.1229977710815473
14,41,wavy,0.855995121358206,alpha_h,0.974820143884892,0.11882502252668603,0.11882502252668603
15,44,wavy,0.8694261936029785,alpha_h,0.9488536155202822,0.07942742191730379,0.07942742191730379
16,45,wavy,0.8750650247738968,alpha_h,0.9638336347197107,0.08876860994581393,0.08876860994581393
17,46,wavy,0.8684843965509627,alpha_h,0.9731663685152057,0.104681971964243,0.104681971964243
18,47,wavy,0.8811205891501942,alpha_h,0.9813432835820896,0.10022269443189535,0.10022269443189535
19,50,bubbly,0.05136833295000001,alpha_h,0.1150442477876106,0.06367591483761059,0.06367591483761059
20,53,bubbly,0.2215386873375,alpha_h,0.28673835125448033,0.06519966391698032,0.06519966391698032
21,54,dispersed,0.35900094071249994,alpha_h,0.39449541284403666,0.035494472131536725,0.035494472131536725
22,55,dispersed,0.33286831282499996,alpha_h,0.37223974763406936,0.039371434809069406,0.039371434809069406
23,56,slug,0.427489732525,alpha_h,0.46619217081850534,0.03870243829350534,0.03870243829350534
24,57,slug,0.39035104435,alpha_h,0.4398496240601504,0.04949857971015037,0.04949857971015037
25,58,slug,0.2870094606,alpha_h,0.3508771929824561,0.06386773238245613,0.06386773238245613
26,59,bubbly,0.18679983186250002,alpha_h,0.26,0.0732001681375,0.0732001681375
27,60,bubbly,0.13385888827500003,alpha_h,0.2085561497326203,0.07469726145762026,0.07469726145762026
28,61,bubbly,0.08804499772500003,alpha_h,0.14942528735632185,0.06138028963132182,0.06138028963132182
29,62,bubbly,0.07169507240000003,alpha_h,0.15517241379310345,0.08347734139310342,0.08347734139310342
30,63,bubbly,0.008331895762500036,alpha_h,0.2131147540983607,0.20478285833586066,0.20478285833586066
31,64,bubbly,0.03021774857500004,alpha_h,0.286764705882353,0.25654695730735294,0.25654695730735294
32,65,bubbly,0.06568017152500003,alpha_h,0.3489932885906041,0.283313117065604,0.283313117065604
33,66,plug,0.17284123943750004,alpha_h,0.4457142857142858,0.27287304627678577,0.27287304627678577
34,67,slug,0.4347662752125001,alpha_h,0.5726872246696035,0.13792094945710343,0.13792094945710343
35,68,plug,0.20671683447500006,alpha_h,0.3068181818181819,0.10010134734318182,0.10010134734318182
36,69,plug,0.2958856214125,alpha_h,0.4,0.1041143785875,0.1041143785875
37,74,dispersed,0.8570035427125,alpha_h,0.515970515970516,-0.341033026741984,0.341033026741984
38,75,dispersed,0.8554647346000002,alpha_h,0.572052401746725,-0.28341233285327516,0.28341233285327516
39,76,dispersed,0.862082867025,alpha_h,0.6710743801652892,-0.19100848685971084,0.19100848685971084
40,77,dispersed,0.8674570132125001,alpha_h,0.7223756906077349,-0.14508132260476525,0.14508132260476525
41,80,dispersed,0.5250437198875001,alpha_h,0.7250922509225092,0.20004853103500908,0.20004853103500908
42,81,dispersed,0.44030437416249996,alpha_h,0.6399026763990268,0.1995983022365268,0.1995983022365268
43,82,dispersed,0.685024053225,alpha_h,0.5821727019498607,-0.10285135127513934,0.10285135127513934
44,87,slug,0.3964389298625,alpha_h,0.662379421221865,0.265940491359365,0.265940491359365
45,122,plug,0.10453755502500003,alpha_h,0.33783783783783783,0.2333002828128378,0.2333002828128378
46,123,plug,0.09556034412500002,alpha_h,0.4126984126984127,0.31713806857341265,0.31713806857341265
47,126,plug,0.3044123876,alpha_h,0.6341463414634148,0.32973395386341475,0.32973395386341475
48,128,plug,0.2419776522,alpha_h,0.6724137931034483,0.4304361409034483,0.4304361409034483
49,130,plug,0.14492428008750002,alpha_h,0.52,0.3750757199125,0.3750757199125
50,131,plug,0.2924473523875,alpha_h,0.6842105263157895,0.39176317392828947,0.39176317392828947
51,132,plug,0.3841860272375,alpha_h,0.7647058823529411,0.3805198551154411,0.3805198551154411
52,148,wavy,0.9004917591479973,alpha_h,0.9876543209876544,0.0871625618396571,0.0871625618396571
53,13,slug,0.556030410125,lockhart,0.36322398884948287,-0.19280642127551711,0.19280642127551711
54,14,slug,0.5304052548,lockhart,0.518125149275566,-0.012280105524434037,0.012280105524434037
55,15,slug,0.5215324891,lockhart,0.5795618206573151,0.058029331557315045,0.058029331557315045
56,23,slug,0.547126287475,lockhart,0.5529084879750148,0.005782200500014767,0.005782200500014767
57,25,slug,0.49836908301250005,lockhart,0.45900878995945515,-0.03936029305304489,0.03936029305304489
58,28,plug,0.24102238166249998,lockhart,0.2347063613550738,-0.006316020307426173,0.006316020307426173
59,29,plug,0.21646753070000005,lockhart,0.2283884895204146,0.011920958820414551,0.011920958820414551
60,31,plug,0.367303725425,lockhart,0.29740688568819945,-0.06989683973680055,0.06989683973680055
61,32,plug,0.41731363495000007,lockhart,0.32712532368720265,-0.09018831126279742,0.09018831126279742
62,33,plug,0.48740399995000006,lockhart,0.3928956752751923,-0.09450832467480774,0.09450832467480774
63,34,plug,0.45857368557500006,lockhart,0.504455926711002,0.04588224113600198,0.04588224113600198
64,35,plug,0.455089220575,lockhart,0.6454230226054022,0.19033380203040218,0.19033380203040218
65,36,plug,0.547265918925,lockhart,0.5433896616019982,-0.003876257323001786,0.003876257323001786
66,40,wavy,0.8663639310461123,lockhart,0.8772269889461719,0.010863057900059592,0.010863057900059592
67,41,wavy,0.855995121358206,lockhart,0.8033001349997344,-0.052694986358471585,0.052694986358471585
68,44,wavy,0.8694261936029785,lockhart,0.7214499043737006,-0.14797628922927786,0.14797628922927786
69,45,wavy,0.8750650247738968,lockhart,0.7640852720084194,-0.11097975276547745,0.11097975276547745
70,46,wavy,0.8684843965509627,lockhart,0.7971688456930196,-0.07131555085794306,0.07131555085794306
71,47,wavy,0.8811205891501942,lockhart,0.8323981478713237,-0.04872244127887049,0.04872244127887049
72,50,bubbly,0.05136833295000001,lockhart,0.10089002869101009,0.04952169574101008,0.04952169574101008
73,53,bubbly,0.2215386873375,lockhart,0.19066645650646413,-0.03087223083103588,0.03087223083103588
74,54,dispersed,0.35900094071249994,lockhart,0.2455845275141211,-0.11341641319837883,0.11341641319837883
75,55,dispersed,0.33286831282499996,lockhart,0.23352788136885708,-0.09934043145614288,0.09934043145614288
76,56,slug,0.427489732525,lockhart,0.2768098431311501,-0.1506798893938499,0.1506798893938499
77,57,slug,0.39035104435,lockhart,0.262247947246339,-0.12810309710366102,0.12810309710366102
78,58,slug,0.2870094606,lockhart,0.21748005954974586,-0.06952940105025412,0.06952940105025412
79,59,bubbly,0.18679983186250002,lockhart,0.17369048191699774,-0.01310934994550228,0.01310934994550228
80,60,bubbly,0.13385888827500003,lockhart,0.14842076719128655,0.01456187891628652,0.01456187891628652
81,61,bubbly,0.08804499772500003,lockhart,0.1181616528562003,0.030116655131200265,0.030116655131200265
82,62,bubbly,0.07169507240000003,lockhart,0.1210466535828926,0.04935158118289257,0.04935158118289257
83,63,bubbly,0.008331895762500036,lockhart,0.14688906826557688,0.13855717250307684,0.13855717250307684
84,64,bubbly,0.03021774857500004,lockhart,0.18168813201801445,0.15147038344301442,0.15147038344301442
85,65,bubbly,0.06568017152500003,lockhart,0.21111695636804653,0.1454367848430465,0.1454367848430465
86,66,plug,0.17284123943750004,lockhart,0.2581992720196337,0.08535803258213367,0.08535803258213367
87,67,slug,0.4347662752125001,lockhart,0.326831417329154,-0.10793485788334611,0.10793485788334611
88,68,plug,0.20671683447500006,lockhart,0.19035593206770635,-0.01636090240729371,0.01636090240729371
89,69,plug,0.2958856214125,lockhart,0.2344493287348307,-0.06143629267766931,0.06143629267766931
90,74,dispersed,0.8570035427125,lockhart,0.31176558224574047,-0.5452379604667595,0.5452379604667595
91,75,dispersed,0.8554647346000002,lockhart,0.34699947452958946,-0.5084652600704107,0.5084652600704107
92,76,dispersed,0.862082867025,lockhart,0.4202662995244079,-0.4418165675005921,0.4418165675005921
93,77,dispersed,0.8674570132125001,lockhart,0.4648877023555364,-0.40256931085696374,0.40256931085696374
94,80,dispersed,0.5250437198875001,lockhart,0.4505639838440275,-0.07447973604347258,0.07447973604347258
95,81,dispersed,0.44030437416249996,lockhart,0.38237223594510644,-0.057932138217393514,0.057932138217393514
96,82,dispersed,0.685024053225,lockhart,0.34445860000446676,-0.3405654532205333,0.3405654532205333
97,87,slug,0.3964389298625,lockhart,0.3880071630464135,-0.008431766816086539,0.008431766816086539
98,122,plug,0.10453755502500003,lockhart,0.2046618360102919,0.10012428098529186,0.10012428098529186
99,123,plug,0.09556034412500002,lockhart,0.2395475499515414,0.1439872058265414,0.1439872058265414
100,126,plug,0.3044123876,lockhart,0.3569133960149011,0.052501008414901074,0.052501008414901074
101,128,plug,0.2419776522,lockhart,0.38275626745468855,0.14077861525468854,0.14077861525468854
102,130,plug,0.14492428008750002,lockhart,0.2926347960828308,0.14771051599533075,0.14771051599533075
103,131,plug,0.2924473523875,lockhart,0.3908514006756578,0.0984040482881578,0.0984040482881578
104,132,plug,0.3841860272375,lockhart,0.45403267393799207,0.06984664670049207,0.06984664670049207
105,148,wavy,0.9004917591479973,lockhart,0.8656190619259485,-0.034872697222048776,0.034872697222048776
106,13,slug,0.556030410125,zivi,0.15385011536354037,-0.4021802947614596,0.4021802947614596
107,14,slug,0.5304052548,zivi,0.32855838380313074,-0.20184687099686927,0.20184687099686927
108,15,slug,0.5215324891,zivi,0.41952670578830437,-0.10200578331169569,0.10200578331169569
109,23,slug,0.547126287475,zivi,0.3774121526851295,-0.16971413478987052,0.16971413478987052
110,25,slug,0.49836908301250005,zivi,0.2508849205942192,-0.24748416241828086,0.24748416241828086
111,28,plug,0.24102238166249998,zivi,0.0646633760247053,-0.17635900563779466,0.17635900563779466
112,29,plug,0.21646753070000005,zivi,0.061390879257027825,-0.15507665144297222,0.15507665144297222
113,31,plug,0.367303725425,zivi,0.10279481878383431,-0.26450890664116566,0.26450890664116566
114,32,plug,0.41731363495000007,zivi,0.1245791848740689,-0.2927344500759312,0.2927344500759312
115,33,plug,0.48740399995000006,zivi,0.18225588417647598,-0.3051481157735241,0.3051481157735241
116,34,plug,0.45857368557500006,zivi,0.3115705679544376,-0.14700311762056245,0.14700311762056245
117,35,plug,0.455089220575,zivi,0.5286133062730565,0.07352408569805646,0.07352408569805646
118,36,plug,0.547265918925,zivi,0.3656585248381383,-0.18160739408686166,0.18160739408686166
119,40,wavy,0.8663639310461123,zivi,0.905109748103743,0.038745817057630694,0.038745817057630694
120,41,wavy,0.855995121358206,zivi,0.79878613380285,-0.05720898755535597,0.05720898755535597
121,44,wavy,0.8694261936029785,zivi,0.6615086869989164,-0.20791750660406205,0.20791750660406205
122,45,wavy,0.8750650247738968,zivi,0.7352324713060115,-0.13983255346788526,0.13983255346788526
123,46,wavy,0.8684843965509627,zivi,0.789987713811002,-0.07849668273996069,0.07849668273996069
124,47,wavy,0.8811205891501942,zivi,0.8444716734612118,-0.03664891568898243,0.03664891568898243
125,50,bubbly,0.05136833295000001,zivi,0.014032637363369072,-0.03733569558663094,0.03733569558663094
126,53,bubbly,0.2215386873375,zivi,0.04304394384140719,-0.17849474349609282,0.17849474349609282
127,54,dispersed,0.35900094071249994,zivi,0.06900396060614068,-0.28999698010635927,0.28999698010635927
128,55,dispersed,0.33286831282499996,zivi,0.06272978951081935,-0.2701385233141806,0.2701385233141806
129,56,slug,0.427489732525,zivi,0.08783560401557938,-0.3396541285094206,0.3396541285094206
130,57,slug,0.39035104435,zivi,0.07913460653712216,-0.31121643781287783,0.31121643781287783
131,58,slug,0.2870094606,zivi,0.05535930316138125,-0.23165015743861875,0.23165015743861875
132,59,bubbly,0.18679983186250002,zivi,0.03651441743234173,-0.15028541443015828,0.15028541443015828
133,60,bubbly,0.13385888827500003,zivi,0.027516718382126035,-0.106342169892874,0.106342169892874
134,61,bubbly,0.08804499772500003,zivi,0.018422199134834935,-0.0696227985901651,0.0696227985901651
135,62,bubbly,0.07169507240000003,zivi,0.019379392103147503,-0.05231568029685253,0.05231568029685253
